date	texte	images		
708	كان للأسقف أوبيرت مزار أقيم على هذا الجبل ، تكريما لرئيس الملائكة القديس ميخائيل (الذي ، وفقا للأسطورة ، ظهر له وأمره بذلك). تقع جمجمة أب أوبيرت اليوم في بازيليك أفرانش. كان هذا الضريح في الواقع على شكل كهف صغير ، والذي لا يمكن أن يحمل سوى مائة من المصلين.	https://i.imgur.com/SDxoNPY.png https://i.imgur.com/58Iltu3.png|Martine Laurence-Barre		
709	في عام 709 ، أقيمت قرية صغيرة أيضا على جبل. قرب منتصف العصور الوسطى ، سيتم ملء هذه القرية أكثر فأكثر ، بعد توغلات الفايكنج. في الواقع ، سيكون الجبل هو الهروب المميز للمدنيين للهروب من المجزرة التي ارتكبها الفايكنج في نورماندي. سيكون لدى أوبيرت كنيسة صغيرة مبنية على قمة مونت تومبي ، مسودة ، إلى ما سيكون دير مونت سانت ميشيل في السنوات المقبلة. رحبت الشرائع ، التي كانت الرهبان يسكنون الدير في عهد الأسقف أوبيرت ، بالحجاج لمدة قرنين من الزمان ، لكنهم تخلوا عن مهمتهم شيئا فشيئا.	https://i.imgur.com/3B3sZUb.png	https://i.imgur.com/1NbbIev.png	
966	تم بناء أول كنيسة تدعى نوتردام سو تير. في نفس العام ، استقر البينديكتين من دير القديس واندريل ، بناء على طلب دوق نورماندي ، ريتشارد الأول ، الذي كره هذا التخلي عن الشرائع. يعتبر هذا العام سنة تأسيس مونت سان ميشيل.	https://i.imgur.com/kPFNe31.png	https://i.imgur.com/8a8d6qF.png	
1066	عندما قرر ويليام الفاتح غزو إنجلترا ، طلب من رئيس الدير دو مونت مساعدته ، وكان لديه 4 سفن مسلحة. بعد فوزه في هاستينغز ، أعطى ويليام الأراضي الإنجليزية للدير ، كعمل من أعمال الاعتراف. في هذا الوقت ، أصبح الجبل أكثر ثراء وقوة.	https://i.imgur.com/n2MtTd4.png	https://i.imgur.com/VMmr2IJ.png	
1103	ينهار شمال صحن نوتردام سو تير.	https://i.imgur.com/uNS6JRb.png		
1113	اندلع حريق في منزل في المدينة. ينتشر الحريق من منزل إلى آخر ويصل في النهاية إلى الدير.	https://i.imgur.com/fvx5hFc.png|Joseph Légaré		
1130	حريق جديد يشعل الدير مرة أخرى. تعبت من هذا انعدام الأمن ، والرهبان تبدأ لم تعد تحمل بجدية التزامهم.	https://i.imgur.com/0zj7x7j.png|Johann Georg Trautmann		
1154	تم انتخاب روبرت ثوريني رئيسا للجبل عام 1154. خلال فترة الوصاية ، سيحصل الجبل على الكثير من الكتب ، والكتب في ذلك الوقت هي أشياء ذات قيمة كبيرة ، وهذا يعزز فقط ثروة الجبل. كونه كاتبا بنفسه ، يكتب القليل منهم. كونه أيضا بانيا عظيما ، فقد تم بناء العديد من المباني ، مثل قسيس أكبر كان قادرا على استيعاب المزيد من الحجاج. عندما توفي عام 1184 ، ترك رئيس الدير وراءه ديرا قويا ومؤثرا روحيا.	https://i.imgur.com/LKXmGvB.png		
1184	وفاة روبرت ثوريني	https://i.imgur.com/9gZnqEL.png|Jbdeparis		
1200	اندلعت حرب بين دوق نورماندي وملك فرنسا. قام البريتونيون ، المتحالفون لهذه المناسبة مع ملك فرنسا ، بتركيب جيش وساروا نحو الجبل ، الذي أشعلوه.	https://i.imgur.com/XRHmazJ.png		
1204	بداية بناء عجب. ملك فرنسا ، فيليب أوغست يقرض المال للدير من أجل تعويض الدير عن الضرر الناجم عن البريتونيين. يتم استثمار هذه الأموال في بناء عجب. المبنى جيد ويستحق اسمه حقا لأن المكان الذي تم بناؤه فيه ليس مكانا مناسبا للبناء ، إنه تضاريس منحدرة.	https://i.imgur.com/jPuhd1B.png	https://i.imgur.com/5grk6a2.png	
1337	بداية حرب المائة عام	https://i.imgur.com/3FeDZSN.png		
1356	الإنجليزية, الاستيلاء على تومبيلين وتخطط لمهاجمة جبل.	https://i.imgur.com/3plZOn0.png		
1386	"انتخب بيير لو روي رئيس الدير. وإدراكا منه للخطر الذي يشكله الإنجليز ، سارع إلى بناء تحصينات جديدة حول الجزيرة. مباني هذا التحصين هي "" تور بيرين ""و"" تور دي كوربينز "" و تششتيليت. بفضل هذه التحصينات والفرسان الثلاثين أو نحو ذلك الذين ظلوا متمركزين ، أثبتت الدفاعات أنها غير سالكة."	https://i.imgur.com/xbM06qb.png|André Le Borgne	https://i.imgur.com/m8x1QyA.png	
1415	هزيمة ملك فرنسا ، تشارلز السادس ، في معركة أزينكورت. يتم تقليل الدفاع عن الجبل ، وبشكل أعم عن فرنسا ، إلى لا شيء ، مما يجعل الجبل ضعيفا للغاية. بعد هذا الفوضى الكاملة ، يرفع رئيس الدير الجديد للجبل ، روبرت جوليفيت ، ضرائب مثيرة للإعجاب ، من أجل بناء سور عظيم حول المدينة ، وهو في حد ذاته حماية الدير ، في مواجهة التهديد الإنجليزي.	https://i.imgur.com/P827yd9.png		
1419	سقطت روان في أيدي الإنجليز في عام 1419 ، وأصبحت نورماندي كلها تحت السيطرة الإنجليزية باستثناء جبل.	https://i.imgur.com/rBbyXn5.png		
1421	انهارت جوقة كنيسة لا ميرفيل ، ولم يتم إعادة بنائها بالكامل إلا بعد قرن من الزمان.	https://i.imgur.com/hyfQNjC.png|BARBOT Yves		
1424	استولى الإنجليز على الجبل مرة أخرى ، لكن الدفاعات كانت مصممة بشكل جيد لدرجة أن الإنجليز لم يتمكنوا من اختراقه على الإطلاق. حتى أن مونتوا ، سكان الجبل ، يديرون ، من خلال جمع شجاعتهم ، لجعلهم يفرون ، من خلال هجمات البرق الليلية.	https://i.imgur.com/9yGtrc3.png		
1425	تراجع الإنجليز بعد هزيمة ثقيلة. بعد هذا الانتصار العظيم ، يتدفق الحجاج من جميع أنحاء المملكة للإشادة بآخر مدافع عن المملكة ، رئيس الملائكة القديس ميخائيل.	https://i.imgur.com/sluvDho.png|Edward William Cooke		
1433	حريق ضخم يجتاح جزءا كبيرا من المدينة. بعد ذلك ، يريد الإنجليز الاستفادة من الفرصة وبالتالي يجمعون جيشا كبيرا.			
1434	كسر الإنجليز اختراقا في الجدار وتمكنوا من غزو جبل. للتعامل مع هذا التهديد ، يقوم قبطان الجبل بإعادة تنظيم قواته وإطلاق هجوم مضاد قوي للغاية. قوية لدرجة أن الإنجليز يفرون ، تاركين قصفين على الفور. هذه الحقيقة من الأسلحة تحفز الجيوش الفرنسية.	https://i.imgur.com/jWh8sbq.png		
1461	اعتلى لويس الحادي عشر العرش بعد وفاة والده تشارلز السابع. زار الجبل أربع مرات خلال حياته. لتهنئة المدافعين عن الجبل ، سيخلق وسام فرسان القديس ميخائيل.	https://i.imgur.com/SJa1AyJ.png	https://i.imgur.com/hYTDw3c.png	
1523	الرهبان ، الذين اعتادوا على انتخاب رئيس الدير ، لم يعودوا يفعلون ذلك ، والملك هو الذي يختار رئيس دير الجبل ، الذي ليس عموما رجل دين ، والذي يتم وضعه بشكل خاص هناك لصالح مملكة فرنسا ، ثروات الجبل.	https://i.imgur.com/PqHq4iZ.png		
1591	حرب أهلية مستعرة في مملكة فرنسا ، وهذا يخيف سكان جبل. البروتستانت يرغبون في اتخاذ الدير.	https://i.imgur.com/rtHirSE.png		
1594	يضرب البرق مرة أخرى على برج مونت سانت ميشيل ، الذي له تأثير تدميره وحرق جزء من إطار الكنيسة. يرفض رئيس الدير إعادة بناء برج الجرس. سيتم إعادة بنائه بعد 15 عاما فقط.	https://i.imgur.com/USBAerl.png		
1622	الإصلاح من مجمع القديس مور تثبيت الرهبان في الكنيسة بعد أن هجر جبل من قبل رؤساء الدير راعيها في القرن ال17, وفقدت أهمية.	https://i.imgur.com/YEUi6Eu.png|Sofonisba Anguissola		
1789	بداية الثورة الفرنسية	https://i.imgur.com/0z7opiS.png	https://i.imgur.com/k24lCJZ.png	
1790	يتم طرد الرهبان من الدير. تم بيع جميع ممتلكاتهم في عام 1792	https://i.imgur.com/Wc9Wh4P.png		
1793	تم تحويل الجبل إلى سجن للكهنة الحراريين وتم حبس 300 منهم. سيتم إطلاق سراحهم في عام 1799.	https://i.imgur.com/X3FY3gv.png		
1804	توج نابليون بونابرت إمبراطورا للفرنسيين تحت اسم نابليون الأول.	https://i.imgur.com/mAr1BDg.png		
1811	بموجب مرسوم إمبراطوري ، تم تحويل الجبل إلى سجن للمدانين المحكوم عليهم بالأشغال الشاقة. سيتم تحويل جميع الغرف إلى ورشة عمل ويعمل فيها 700 مدان.	https://i.imgur.com/wEOySxr.png		
1817	الفندق القديم الذي بني في عهد ثوريني ينهار.	https://i.imgur.com/gO8PDqW.png		
1834	اندلع حريق في كنيسة الدير ، والتي تم تحويلها منذ ذلك الحين إلى مصنع للقبعات. تتم إعادة الإعمار ، لكنها سطحية للغاية مقارنة بالأضرار التي لحقت بالكنيسة.	https://i.imgur.com/AAEvsbz.png		
