date	texte	images		
708	Bishop Aubert had a shrine built on this mountain in honor of the Archangel Saint-Michel (who, according to legend, appeared to him and ordered him to do so). The skull of Abbot Aubert rests today in the basilica of Avranches. This sanctuary had in fact the shape of a small cave, which can only contain about a hundred faithful.	https://i.imgur.com/SDxoNPY.png https://i.imgur.com/58Iltu3.png|Martine Laurence-Barre		
709	In 709, a small village was also built on the mountain. Towards the middle of the Middle Ages, this village will fill up more and more, following the Viking incursions. Indeed, the Mount will be the preferred escape route for civilians to escape the massacre perpetrated by the Vikings in Normandy. Aubert had a small church built on the top of Mont Tombe, a draft of what would become the abbey of Mont-Saint-Michel in the years to come. The Canons, who were the monks who populated the Abbey at the time of Bishop Aubert, welcomed pilgrims for two centuries, but they gradually neglected their mission.  Translated with www.DeepL.com/Translator (free version)	https://i.imgur.com/3B3sZUb.png	https://i.imgur.com/1NbbIev.png	
966	a first church named Notre-Dame-Sous-Terre is built. The same year, Benedictines from the abbey of Saint Wandrille, moved in after the request of the Duke of Normandy, Richard I, who hated this abandon of the Canons. This year is considered the founding year of Mont-Saint-Michel.	https://i.imgur.com/kPFNe31.png	https://i.imgur.com/8a8d6qF.png	
1066	When William the Conqueror decided to invade England, he asked the abbot of the Mont for help, and the abbot had four ships armed. After his victory at Hastings, William gave English lands to the abbey as an act of recognition. At this time, the Mount became increasingly rich and powerful.	https://i.imgur.com/n2MtTd4.png	https://i.imgur.com/VMmr2IJ.png	
1103	The northern part of the nave of Notre-Dame-sous-Terre collapses.	https://i.imgur.com/uNS6JRb.png		
1113	A fire breaks out in a house in the city. The fire spreads from house to house and eventually reaches the abbey.	https://i.imgur.com/fvx5hFc.png|Joseph Légaré		
1130	A new fire ignites the abbey again. Tired of this insecurity, the monks begin not to carry out their obligation seriously.	https://i.imgur.com/0zj7x7j.png|Johann Georg Trautmann		
1154	Robert Thorigny was elected Abbot of the Mont in 1154. During his regency, the Mont acquired many books, books at that time being objects of great value, which only reinforced the wealth of the Mont. Being a writer himself, he wrote some of them. Being also a great builder, he had many buildings constructed, such as a larger chaplaincy that was able to accommodate more pilgrims. When he died in 1184, the abbot left behind a powerful and spiritually influential abbey.  Translated with www.DeepL.com/Translator (free version)	https://i.imgur.com/LKXmGvB.png		
1184	Death of Robert Thorigny	https://i.imgur.com/9gZnqEL.png|Jbdeparis		
1200	A war broke out between the Duke of Normandy and the King of France. The Bretons, allied for the occasion to the king of France, put together an army and marched towards the Mont which they set on fire.	https://i.imgur.com/XRHmazJ.png		
1204	The construction of the Wonder begins. The king of France, Philip Augustus, lends money to the abbey to compensate the monastery for the damage caused by the Bretons. This money was invested in the construction of the Wonder. The building deserves its name because the place where it is built is not a good place for construction, it is a sloping ground. 	https://i.imgur.com/jPuhd1B.png	https://i.imgur.com/5grk6a2.png	
1337	Beginning of the Hundred Years' War	https://i.imgur.com/3FeDZSN.png		
1356	The English seized Tombelaine and planned to attack the Mont.	https://i.imgur.com/3plZOn0.png		
1386	"Pierre le Roy is elected abbot. Aware of the danger posed by the English, he hurried to build new fortifications around the island. The buildings of this fortification are the ""Tour Perrine"", the ""Tour des Corbins"" and the ""Châtelet"". Thanks to these fortifications and to the thirty or so knights who remained on duty, the defenses were found to be impenetrable."	https://i.imgur.com/xbM06qb.png|André Le Borgne	https://i.imgur.com/m8x1QyA.png	
1415	Defeat of the king of France, Charles VI, at the battle of Azincourt. The defense of the Mont, and more generally of France, is reduced to nothing, which makes the Mont very vulnerable. Following this total disorganization, the new abbot of the Mont, Robert Jolivet, raises impressive taxes, in order to build a great wall around the city, itself being the protection of the abbey, facing the English threat.	https://i.imgur.com/P827yd9.png		
1419	Rouen fell into the hands of the English in 1419, all of Normandy came under English control except for the Mont.	https://i.imgur.com/rBbyXn5.png		
1421	The choir of the church the Wonder collapses, and will be completely rebuilt only one century later.	https://i.imgur.com/hyfQNjC.png|BARBOT Yves		
1424	The English stormed the Mont, but the defenses were so well designed that the English were unable to penetrate it at all. The inhabitants of the Mont even managed, by gathering their bravery, to make them flee, by lightning night attacks.	https://i.imgur.com/9yGtrc3.png		
1425	The English retreat after a heavy defeat. After this great victory, pilgrims flocked from all over the kingdom to pay tribute to the last defender of the kingdom, the Archangel Saint-Michael.	https://i.imgur.com/sluvDho.png|Edward William Cooke		
1433	A huge fire devastates a large part of the city. Following this, the English want to take advantage of the opportunity and so they gather a large army.			
1434	The English breached the wall and managed to invade the Mont. To face this threat, the captain of the Mont reorganized his troops and launched an extremely powerful counter-attack. So powerful that the English fled, leaving two bombards on the spot. This feat of arms galvanized the French armies.	https://i.imgur.com/jWh8sbq.png		
1461	Louis XI came to the throne after the death of his father, Charles VII. This king was very pious. He went to the Mont four times during his life. To congratulate the defenders of the Mont, he created the order of the knights of Saint-Michel.	https://i.imgur.com/SJa1AyJ.png	https://i.imgur.com/hYTDw3c.png	
1523	The Monks, who used to elect their abbot, no longer do so, and it is the king who chooses the abbot of the Mont, who is generally not an ecclesiastic, and who is above all placed there to make the kingdom of France benefit from the wealth of the Mont.	https://i.imgur.com/PqHq4iZ.png		
1591	A civil war is raging in the kingdom of France, and this frightens the inhabitants of Mont-Saint-Michel. The Protestants want to take the abbey.	https://i.imgur.com/rtHirSE.png		
1594	Lightning struck the spire of Mont-Saint-Michel once again, destroying it and burning down part of the church's frame. The abbot refused to have the bell tower rebuilt. It was not rebuilt until 15 years later.	https://i.imgur.com/USBAerl.png		
1622	The reform of the congregation of Saint Maur installed monks in the church after the mount had been deserted by its sponsoring abbots in the 17th century, and it had lost importance.	https://i.imgur.com/YEUi6Eu.png|Sofonisba Anguissola		
1789	Beginning of the French Revolution	https://i.imgur.com/0z7opiS.png	https://i.imgur.com/k24lCJZ.png	
1790	The monks were expelled from the abbey. All their goods are sold in 1792	https://i.imgur.com/Wc9Wh4P.png		
1793	The Mont was transformed into a prison for the Refractory priests and 300 of them were locked up. They were freed in 1799.	https://i.imgur.com/X3FY3gv.png		
1804	Napoleon Bonaparte is crowned Emperor of the French under the name of Napoleon I.	https://i.imgur.com/mAr1BDg.png		
1811	By imperial decree, the Mont was transformed into a penal colony for those condemned to forced labor. The rooms were all transformed into workshops and 700 convicts worked in them.	https://i.imgur.com/wEOySxr.png		
1817	The old hostelry built during the reign of Thorigny collapses.	https://i.imgur.com/gO8PDqW.png		
1834	A fire breaks out in the abbey church, which has since been converted into a hat factory. Reconstruction is undertaken, but it is too superficial compared to the damage that the church has suffered.	https://i.imgur.com/AAEvsbz.png		
1863	The prison is closed. The abbey is rented to the bishop of Coutance. The monks were invited to live in the abbey and pilgrims returned. The inns, hotels and souvenir stores also reopened because of the increase in visits.	https://i.imgur.com/YLkPKIE.png	https://i.imgur.com/u5MToH6.png	
1874	The abbey is classified as a historical monument. The monks are again expelled and the architect Edouard Corroyer is called to direct the restoration work.	https://i.imgur.com/L32neM3.png		
1879	The construction of the dike linking it to the land, along with the first railway line linking Pontorson (right to the south of the Mount) allows a lot of tourists to come and admire the Mont in all its magnificence.	https://i.imgur.com/mR765QW.png	https://i.imgur.com/Uhorpqi.png	https://i.imgur.com/OfUueso.png
1914	During the First World War, Normandy was located far from the combat zones, being more to the east. Although one can hear distant cannon shots. Normandy, and therefore Mont-Saint-Michel, served as a rear post for the Allies, especially the English. Many refugees came to the Mont. Most of them came from the north of France or Belgium.	https://imgur.com/VUMZ46t.png|nc		
1918	End of the First World War	https://i.imgur.com/rOdNBpX.png		
1922	Re-Christianization of Mont Saint Michel.	https://i.imgur.com/5iTXqY8.png		
1939	Beginning of the Second World War	https://i.imgur.com/2g8Dwl7.png		
1940	Beginning of the German occupation. During the Second World War, the Germans came to occupy the Mont from June 20th 1940.	https://i.imgur.com/5Q8wWKq.png		
1944	Allied landing in Normandy in 1944, they put pressure on the German armies, those come to retreat to the Mont.	https://i.imgur.com/vJyotGv.png		
1950	After the horrors of the beginning of the century, the fact that the Mont became a place of visit of international rank, made the commune of the Mont, one of the strongest destinations of France.	https://i.imgur.com/BYH67dS.png		
1966	We celebrate the millennium of the Mount	https://i.imgur.com/oXOSALw.png		
1979	Mont-Saint-Michel is listed as a UNESCO World Heritage Site	https://i.imgur.com/FDqpQDy.png		
1983	A project is underway to replace the dike with a footbridge on stilts, thus rising and falling with the tide to give back to the Mont its character of an islet when the tide is high.	https://i.imgur.com/6MwCdAF.png		
2001	The monks and sisters of the Jerusalem Fraternity reinvested the place and organized daily celebrations, after the Benedictine monks abandoned it.	https://i.imgur.com/SAxQmnt.png		
