date	texte	images		
708	l’évêque Aubert fait ériger sur ce Mont un Sanctuaire, en l’honneur de l’Archange Saint-Michel (qui, d’après la légende, lui serait apparu et lui aurait ordonné de le faire). Le crâne de l’abbé Aubert repose aujourd’hui dans la basilique d'Avranches. Ce sanctuaire avait en fait la forme d’une petite grotte, qui ne peut contenir qu’une centaine de fidèles.	https://i.imgur.com/58Iltu3.png|Martine Laurence-Barre	https://i.imgur.com/SDxoNPY.png	
709	En 709, un petit village est aussi érigé sur le Mont. Vers le milieu du Moyen  ge, ce village se remplira de plus en plus, suite aux incursions Vikings. En effet, le Mont sera l'échappatoire privilégiée par les civils pour échapper au massacre perpétré par les Vikings en Normandie. Aubert fera construire une petite église sur le haut du Mont Tombe, une ébauche, à ce que sera l’abbaye du Mont-Saint-Michel dans les années futures. Les Chanoines, qui sont les moines peuplant l’Abbaye du temps de l'évêque Aubert, accueilleront les pèlerins pendant deux siècles, mais ils délaissèrent leur mission petit à petit.	https://i.imgur.com/3B3sZUb.png	https://i.imgur.com/1NbbIev.png	
966	une première église du nom de Notre-Dame-Sous-Terre est construite. La même année, des Bénédictins venus de l’abbaye de Saint Wandrille, s'installent après la demande du duc de Normandie, Richard Ier, qui détestait cet abandon des Chanoines. Cette année est considérée comme l’année de fondation du Mont-Saint-Michel.	https://i.imgur.com/kPFNe31.png	https://i.imgur.com/8a8d6qF.png	
1066	Quand Guillaume le Conquérant décide d’envahir l’Angleterre, il demande son aide à l’abbé du Mont, et celui-ci fait armer 4 navires. Après sa victoire à Hastings, Guillaume donne des terres anglaises à l’abbaye, en acte de reconnaissances. À cette époque, le Mont devient de plus en plus riche et puissant.	https://i.imgur.com/n2MtTd4.png	https://i.imgur.com/VMmr2IJ.png	
1103	Le nord de la nef de Notre-Dame-sous-Terre s'effondre.	https://i.imgur.com/uNS6JRb.png		
1113	Un incendie se déclare dans une maison de la ville. Le feu se propage de maison en maison et finit par atteindre l'abbaye.	https://i.imgur.com/fvx5hFc.png|Joseph Légaré		
1130	Un nouvel incendie enflamme de nouveau l'abbaye. Lassé de cette insécurité, les moines commencent à ne plus mener sérieusement leur obligation.	https://i.imgur.com/0zj7x7j.png|Johann Georg Trautmann		
1154	Robert Thorigny est élu Abbé du Mont en 1154. Durant sa régence, le Mont va acquérir beaucoup de livres, les livres à cette époque étant des objets de grande valeur, cela ne fait que renforcer la richesse du Mont. Étant lui-même écrivain, il en écrit quelques-uns. Étant également un grand bâtisseur, il fait construire de nombreux bâtiments, comme une plus grande aumônerie qui est capable d'accueillir plus de pèlerins. À sa mort en 1184, l’abbé laissera derrière lui une abbaye puissante et influente au niveau spirituel.	https://i.imgur.com/LKXmGvB.png		
1184	Mort de Robert Thorigny	https://i.imgur.com/9gZnqEL.png|Jbdeparis		
1200	Une guerre éclate entre le duc de Normandie et le roi de France. Les Bretons, alliés pour l'occasion au roi de France, montent une armée et marchent vers le Mont qu'ils enflamment.	https://i.imgur.com/XRHmazJ.png		
